City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,queanbeyan,-35.35,149.2333,27.46,47,100,2.06,AU,1732491794
83,kedougou,12.5579,-12.1743,26.32,47,0,0.0,SN,1732491794
84,mogocha,53.7333,119.7667,-12.06,96,100,1.11,RU,1732491794
85,dudinka,69.4058,86.1778,-2.71,97,100,8.59,RU,1732491794
86,stavrovo,56.1331,40.013,-3.4,88,6,1.48,RU,1732491794
87,inongo,-1.95,18.2667,22.17,89,42,1.24,CD,1732491795
88,laguna,38.421,-121.4238,16.79,50,0,3.09,US,1732491795
89,olyokminsk,60.3736,120.4264,-17.97,97,100,1.52,RU,1732491776
90,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,59,75,3.0,RU,1732491787
91,muli,2.9167,73.5667,27.72,75,97,2.96,MV,1732491795
92,qina,26.1642,32.7267,15.24,42,0,5.73,EG,1732491795
93,fale old settlement,-9.3852,-171.2468,28.69,71,14,6.49,TK,1732491788
94,bodhan,18.6667,77.9,15.54,72,94,1.32,IN,1732491796
95,port saint john's,-31.6229,29.5448,23.88,91,40,4.95,ZA,1732491796
96,talnakh,69.4865,88.3972,-7.59,95,100,6.97,RU,1732491796
97,dwarka,22.2394,68.9678,24.25,51,67,3.94,IN,1732491796
98,thompson,55.7435,-97.8558,-14.91,92,100,5.66,CA,1732491796
99,saint-philippe,-21.3585,55.7679,23.91,84,44,4.41,RE,1732491796
100,iquitos,-3.7481,-73.2472,25.02,94,75,1.03,PE,1732491797
101,alofi,-19.0595,-169.9187,27.94,74,75,6.17,NU,1732491797
102,chu,43.5983,73.7614,-0.18,59,0,0.74,KZ,1732491797
103,hawaiian paradise park,19.5933,-154.9731,24.37,86,100,2.57,US,1732491797
104,okhotsk,59.3833,143.3,-13.9,65,0,7.17,RU,1732491797
105,kenai,60.5544,-151.2583,-0.48,90,100,0.0,US,1732491797
106,puerto aysen,-45.4,-72.7,8.68,99,100,1.03,CL,1732491798
107,nova sintra,14.8667,-24.7167,25.69,78,0,5.04,CV,1732491798
108,east london,-33.0153,27.9116,23.55,88,51,5.83,ZA,1732491790
109,quellon,-43.1167,-73.6167,11.96,76,77,3.58,CL,1732491798
110,barra de santo antonio,-9.4047,-35.5072,25.87,81,28,5.31,BR,1732491798
111,qaqortoq,60.7167,-46.0333,-11.62,69,2,1.64,GL,1732491798
112,mount gambier,-37.8333,140.7667,21.07,65,100,2.66,AU,1732491799
113,kapa'a,22.0752,-159.319,26.38,79,9,0.45,US,1732491799
114,verkhnevilyuysk,63.4453,120.3167,-24.35,91,100,1.99,RU,1732491799
115,la passe,45.5549,-0.8967,16.1,64,93,13.38,FR,1732491799
116,sena madureira,-9.0656,-68.6569,23.24,95,95,0.25,BR,1732491790
117,keflavik,64.0049,-22.5624,-1.76,64,75,9.77,IS,1732491799
118,longyearbyen,78.2186,15.6401,-7.09,68,40,4.63,SJ,1732491781
119,ocean shores,46.9737,-124.1563,8.34,95,100,3.6,US,1732491593
120,wanning,18.8003,110.3967,23.84,91,50,4.85,CN,1732491689
121,kulhudhuffushi,6.6221,73.07,27.8,76,95,3.15,MV,1732491800
122,sulak,43.2734,47.5146,7.79,71,100,6.64,RU,1732491800
123,port lincoln,-34.7333,135.8667,17.99,79,100,1.79,AU,1732491800
124,neiafu,-18.65,-173.9833,28.38,74,75,4.12,TO,1732491800
125,lihue,21.9789,-159.3672,25.97,79,17,0.96,US,1732491801
126,sahab,31.8721,36.005,8.35,66,40,5.14,JO,1732491801
127,nuuk,64.1835,-51.7216,-2.66,68,100,0.51,GL,1732491693
128,egilsstadir,65.2653,-14.3948,-2.05,93,100,10.29,IS,1732491801
129,st. john's,47.5649,-52.7093,6.82,97,75,9.77,CA,1732491665
130,dunhua,43.3725,128.2425,0.08,83,100,1.9,CN,1732491802
131,kandira,41.0736,30.1746,5.29,64,100,2.88,TR,1732491802
132,berdigestyakh,62.0989,126.6992,-24.73,99,98,2.02,RU,1732491802
133,siracusa,37.0881,15.2792,13.19,63,0,2.26,IT,1732491802
134,cabedelo,-6.9811,-34.8339,27.37,75,23,6.56,BR,1732491802
135,jeddah,21.5169,39.2192,26.92,54,40,1.03,SA,1732491774
136,solleftea,63.1667,17.2667,2.92,97,100,3.73,SE,1732491803
137,karditsa,39.3656,21.9217,5.05,39,3,0.77,GR,1732491763
138,tazovsky,67.4667,78.7,0.77,98,100,7.62,RU,1732491803
139,santa marta,11.2408,-74.199,31.03,77,20,3.6,CO,1732491638
140,fisterra,42.9049,-9.2629,13.75,71,100,4.22,ES,1732491803
141,kerikeri,-35.2268,173.9474,20.97,43,38,3.15,NZ,1732491803
142,rongelap,11.1635,166.8941,28.36,79,21,8.74,MH,1732491800
143,san patricio,28.017,-97.5169,26.97,63,5,6.99,US,1732491804
144,jayapura,-2.5333,140.7,28.66,69,86,1.41,ID,1732491804
145,marolambo,-20.05,48.1167,20.89,97,100,0.49,MG,1732491804
146,margate,51.3813,1.3862,16.6,70,98,1.34,GB,1732491804
147,castillos,-34.1667,-53.8333,19.26,85,0,5.03,UY,1732491804
148,la ronge,55.1001,-105.2842,-13.86,78,100,5.66,CA,1732491797
149,lompoc,34.6391,-120.4579,18.23,57,0,4.12,US,1732491805
150,waddan,29.1614,16.139,12.78,68,33,4.07,LY,1732491805
151,lebu,-37.6167,-73.65,12.75,88,0,0.98,CL,1732491684
152,malango,-2.9627,119.9001,23.62,83,94,0.49,ID,1732491805
153,port elizabeth,-33.918,25.5701,21.16,99,75,4.63,ZA,1732491806
154,chegdomyn,51.1167,133.0167,-16.31,94,59,0.51,RU,1732491806
155,grand falls-windsor,48.9332,-55.6649,6.39,95,100,2.38,CA,1732491806
156,enewetak,11.3474,162.3373,28.3,80,40,9.65,MH,1732491801
157,bitam,2.076,11.5007,20.45,97,35,1.18,GA,1732491806
158,sampit,-2.5333,112.95,23.93,99,100,0.72,ID,1732491807
159,kodiak,57.79,-152.4072,1.73,80,40,0.0,US,1732491807
160,avarua,-21.2078,-159.775,27.03,74,75,4.63,CK,1732491781
161,constantia,44.1833,28.65,-1.62,56,30,2.36,RO,1732491807
162,puerto cabezas,14.0351,-83.3888,28.98,79,40,6.17,NI,1732491807
163,ust'-uda,54.1742,103.0304,-11.36,96,100,1.06,RU,1732491807
164,ikovka,55.6089,64.9375,-7.3,81,3,2.82,RU,1732491807
165,isafjordur,66.0755,-23.124,-8.25,72,7,1.55,IS,1732491808
166,arraial do cabo,-22.9661,-42.0278,21.68,77,3,6.37,BR,1732491576
167,hagenow,53.4333,11.1833,10.77,74,100,7.56,DE,1732491808
168,reggane,26.7158,0.1714,19.34,32,0,5.7,DZ,1732491808
169,aykhal,66.0,111.5,-30.13,91,11,4.51,RU,1732491808
170,sao vicente,-23.9631,-46.3919,22.19,26,29,3.58,BR,1732491737
171,kingston,17.997,-76.7936,25.53,89,100,4.63,JM,1732491702
